username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/Bhij_ayjcPp,1523685655,./imgs/Bhij_ayjcPp.png,Fav @gretavanfleet,3070854,25162,0,18,2,0,0,False
justinbieber,https://www.instagram.com/p/uPtejeAvqm,1413531429,./imgs/uPtejeAvqm.png,nan,809670,28559,0,0,0,0,0,True
justinbieber,https://www.instagram.com/p/Yx06fGgvqF,1367431538,./imgs/Yx06fGgvqF.png,Turkey what's good,990531,76787,0,18,3,0,0,False
justinbieber,https://www.instagram.com/p/BIVb2tbh2dw,1469558091,./imgs/BIVb2tbh2dw.png,Thank you. Stream #coldwater on @Spotify now,1182679,20023,1,44,7,0,0,False
justinbieber,https://www.instagram.com/p/buK33_Avhu,1373751284,./imgs/buK33_Avhu.png,I want all of you,881757,41203,0,17,5,0,0,False
justinbieber,https://www.instagram.com/p/CZuIQuRLqx_,1644332855,./imgs/CZuIQuRLqx_.png,The justice tour is right around the corner,1658154,11568,0,43,8,0,0,False
justinbieber,https://www.instagram.com/p/CL86HdOHYAf,1614763984,./imgs/CL86HdOHYAf.png,Birthday gift love em.,2088635,10208,0,22,4,0,0,False
justinbieber,https://www.instagram.com/p/l0V8-Dgvvy,1395433256,./imgs/l0V8-Dgvvy.png,Congrats @khalil and @lilza,680182,7598,0,27,4,0,0,False
justinbieber,https://www.instagram.com/p/COdOU5xnqZW,1620143289,./imgs/COdOU5xnqZW.png,"@21savage @djkhaled they say time is money but money can’t make no Time

📷: @rorykramer",1347972,4351,0,87,15,1,0,False
justinbieber,https://www.instagram.com/p/B97Gz8KHblr,1584638922,./imgs/B97Gz8KHblr.png,#seasons is on @youtube . Hope this journey helps,599366,4764,1,49,9,0,0,True
justinbieber,https://www.instagram.com/p/Q-hMJ7gviG,1350677535,./imgs/Q-hMJ7gviG.png,Who do we got to the right of me,420847,14069,0,32,9,0,0,False
justinbieber,https://www.instagram.com/p/CUtJvTzDTDV,1633562688,./imgs/CUtJvTzDTDV.png,nan,1687640,23641,0,0,0,0,0,True
justinbieber,https://www.instagram.com/p/CDR7qPGHvin,1596142083,./imgs/CDR7qPGHvin.png,nan,732794,1772,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/75FmeGgvmv,1442837096,./imgs/75FmeGgvmv.png,Haha Diplo getting his stretch on.. Lol idk why this is so funny.. Diplo u know u don't ball,777126,5922,0,92,19,0,0,False
